info,lat,lon,alt
536903344,39.7722,-77.3506,2686
536903296,39.7722,-77.3505,2690
536903344,39.7722,-77.3504,2695
536903296,39.7722,-77.3504,2700
536903296,39.7721,-77.3503,2705
536903344,39.7721,-77.3502,2710
536903344,39.7721,-77.3502,2715
536903296,39.7720,-77.3501,2721
536903296,39.7720,-77.3501,2727
536903296,39.7720,-77.3500,2733
536903296,39.7719,-77.3500,2738
536903344,39.7719,-77.3499,2744
536903184,39.7719,-77.3499,2750
536903184,39.7719,-77.3498,2756
536903184,39.7718,-77.3498,2762
536903184,39.7718,-77.3497,2773
536903184,39.7718,-77.3497,2779
536903184,39.7718,-77.3496,2785
536903184,39.7718,-77.3496,2791
536903344,39.7717,-77.3495,2797
536903296,39.7717,-77.3495,2802
536903048,39.7717,-77.3495,2808
536903048,39.7716,-77.3494,2813
536903048,39.7716,-77.3494,2819
536903048,39.7716,-77.3494,2825
536903048,39.7716,-77.3493,2830
536903048,39.7715,-77.3493,2835
536903048,39.7715,-77.3493,2841
536903048,39.7715,-77.3493,2846
536903048,39.7715,-77.3493,2851
536903048,39.7715,-77.3493,2856
536903048,39.7715,-77.3492,2861
536903048,39.7715,-77.3492,2865
536903048,39.7715,-77.3492,2869
536903048,39.7714,-77.3492,2874
536903048,39.7714,-77.3491,2879
536903048,39.7714,-77.3491,2884
536903048,39.7714,-77.3491,2889
536903048,39.7714,-77.3491,2894
536903048,39.7714,-77.3490,2900
536903048,39.7713,-77.3490,2905
536903048,39.7713,-77.3490,2911
536903184,39.7713,-77.3490,2917
536903184,39.7713,-77.3490,2922
536903184,39.7713,-77.3490,2928
536903184,39.7713,-77.3490,2934
536903184,39.7712,-77.3490,2940
536903296,39.7712,-77.3489,2945
536903344,39.7712,-77.3489,2951
536903296,39.7712,-77.3489,2957
536903296,39.7712,-77.3489,2962
536903296,39.7712,-77.3489,2968
536903296,39.7712,-77.3489,2974
536903296,39.7712,-77.3489,2980
536903296,39.7712,-77.3489,2986
536903344,39.7711,-77.3489,2991
536903296,39.7711,-77.3489,2997
536903296,39.7711,-77.3489,3002
536903296,39.7711,-77.3489,3008
536903296,39.7711,-77.3489,3014
536903296,39.7710,-77.3488,3019
536903296,39.7710,-77.3488,3025
536903184,39.7710,-77.3488,3030
536903184,39.7709,-77.3488,3035
536903184,39.7709,-77.3487,3040
536903184,39.7709,-77.3487,3045
536903184,39.7709,-77.3487,3050
536903184,39.7709,-77.3486,3054
536903344,39.7709,-77.3486,3059
536903296,39.7708,-77.3486,3064
536903296,39.7708,-77.3485,3068
536903296,39.7708,-77.3485,3073
536903344,39.7708,-77.3485,3077
536903344,39.7708,-77.3485,3082
536903296,39.7708,-77.3485,3086
536903344,39.7708,-77.3484,3091
536903296,39.7707,-77.3484,3095
536903296,39.7707,-77.3484,3100
536903296,39.7707,-77.3484,3106
536903296,39.7707,-77.3484,3111
536903296,39.7706,-77.3484,3116
536903296,39.7706,-77.3484,3121
536903184,39.7706,-77.3484,3126
536903184,39.7706,-77.3484,3131
536903184,39.7705,-77.3483,3136
536903184,39.7705,-77.3483,3142
536903184,39.7704,-77.3483,3146
536903184,39.7704,-77.3483,3151
536903184,39.7704,-77.3482,3156
536903296,39.7703,-77.3482,3161
536903296,39.7703,-77.3482,3165
536903296,39.7702,-77.3481,3169
536903344,39.7702,-77.3481,3174
536903296,39.7701,-77.3481,3178
536903344,39.7701,-77.3481,3183
536903296,39.7701,-77.3481,3187
536903296,39.7700,-77.3481,3192
536903296,39.7700,-77.3481,3197
536903344,39.7700,-77.3481,3202
536903344,39.7700,-77.3480,3207
536903344,39.7699,-77.3480,3213
536903344,39.7699,-77.3480,3218
536903344,39.7699,-77.3479,3229
536903344,39.7699,-77.3479,3235
536903184,39.7698,-77.3479,3241
536903184,39.7698,-77.3478,3246
536903184,39.7698,-77.3478,3252
536903184,39.7697,-77.3477,3258
536903296,39.7697,-77.3477,3264
536903344,39.7697,-77.3477,3270
536903296,39.7697,-77.3476,3276
536903296,39.7696,-77.3476,3282
536903296,39.7696,-77.3475,3288
536903296,39.7696,-77.3475,3294
536903344,39.7695,-77.3475,3299
536903344,39.7695,-77.3474,3305
536903296,39.7695,-77.3474,3309
536903296,39.7694,-77.3473,3313
536903296,39.7694,-77.3473,3317
536903344,39.7693,-77.3472,3321
536903296,39.7693,-77.3472,3324
536903296,39.7693,-77.3472,3328
536903296,39.7692,-77.3471,3333
536903184,39.7692,-77.3471,3337
536903184,39.7692,-77.3470,3341
536903184,39.7691,-77.3470,3346
536903184,39.7691,-77.3470,3350
536903184,39.7691,-77.3469,3355
536903184,39.7690,-77.3469,3359
536903184,39.7690,-77.3468,3364
536903296,39.7690,-77.3468,3368
